date,medium_term_trend,rsi_deep_value,turn_of_month
2018-01-02,-0.0,-8.333333333333333e-05,-0.00025
2018-01-03,0.0,0.00012949396799137128,0.00038848190397411386
2018-01-04,0.0,0.000943948344807118,0.002831845034421354
2018-01-05,-0.0,-0.0016428494284342898,-0.005095214951969536
2018-01-08,0.0,6.282057759695221e-05,6.282057759695221e-05
2018-01-09,0.0,5.641370934043414e-05,5.641370934043414e-05
2018-01-10,-0.0,-0.0037018394179994343,-0.0037018394179994343
2018-01-11,0.0,0.002278695832240422,0.002278695832240422
2018-01-12,0.0,0.0013649725699554915,0.0013649725699554915
2018-01-15,-0.0,-0.0012917310541875244,-0.0012917310541875244
2018-01-16,-0.0,-0.00031306017719714047,-0.00031306017719714047
2018-01-17,0.0,0.001157147115824227,0.001157147115824227
2018-01-18,-0.0,-0.0005071656795013941,-0.0005071656795013941
2018-01-19,-0.0,-0.00046696760307366836,-0.00046696760307366836
2018-01-22,-0.0,-0.0030618817510024154,-0.0030618817510024154
2018-01-23,0.0,0.0012646982574229249,0.0012646982574229249
2018-01-24,0.0,0.00032706245178441373,0.00032706245178441373
2018-01-25,0.0,0.0006542773870540364,0.0006542773870540364
2018-01-26,-0.0,-0.0032176706274946545,-0.0032176706274946545
2018-01-29,0.0,0.003674775442403947,0.003674775442403947
2018-01-30,0.0,0.00022652339394285695,0.0003931900606095236
2018-01-31,-0.0,-0.002335935979673298,-0.0009453119932244327
2018-02-01,0.0,0.013544166968030735,0.013544166968030735
2018-02-02,-0.0,-0.00011999479303953509,-0.00011999479303953509
2018-02-05,-0.0,-0.00916929336617145,-0.00916929336617145
2018-02-06,-0.0,-0.002452944372546617,-0.0026196110392132837
2018-02-07,-0.0,-0.014485087946699282,-0.00482836264889976
2018-02-08,0.0,0.007045251755371629,0.0023484172517905426
2018-02-09,-0.0,-0.002525682434890264,-0.0008418941449634213
2018-02-12,-0.0,-0.004630027493784605,-0.0015433424979282018
2018-02-13,0.0,0.00719736612213695,0.0023991220407123164
2018-02-14,-0.0,-0.010446321527142588,-0.0034821071757141957
2018-02-15,0.0,0.003668684585925397,0.0012228948619751323
2018-02-16,-0.0,-0.01306983911999221,-0.0043566130399974035
2018-02-19,-0.0,-0.004112033605671972,-0.001370677868557324
2018-02-20,-0.0,-0.007594166936407354,-0.0025313889788024513
2018-02-21,0.0,0.00977210941834794,0.00325736980611598
2018-02-22,0.0,0.01179194745823453,0.003930649152744843
2018-02-23,-0.0,-0.0019623285491451314,-0.0006541095163817104
2018-02-26,0.0,0.005671692962505914,0.0018905643208353047
2018-02-27,-0.0,-0.0009939224152474835,-0.00033130747174916114
2018-02-28,0.0,0.0038823977052580005,0.0011274659017526667
2018-03-01,-0.0,-0.004696247952318489,-0.004696247952318489
2018-03-02,-0.0,-0.01081062287831458,-0.01081062287831458
2018-03-05,-0.0,-0.011412871001548364,-0.011412871001548364
2018-03-06,0.0,0.002672408457337516,0.0025057417906708497
2018-03-07,0.0,0.015005115749560538,0.005001705249853512
2018-03-08,0.0,0.001929890519598798,0.000643296839866266
2018-03-09,-0.0,-0.0032244877859125,-0.0010748292619708333
2018-03-12,-0.00020833333333333343,0.012763304332779613,0.004254434777593204
2018-03-13,0.0014336792159001337,0.0017204150590801603,0.0005734716863600534
2018-03-14,0.0006958478188195024,0.0008350173825834029,0.00027833912752780093
2018-03-15,0.0015167165684024098,0.0018200598820828917,0.0006066866273609639
2018-03-16,-0.0005708184622217154,-0.0006849821546660584,-0.00022832738488868612
2018-03-19,-0.0015276893786524137,-0.0018332272543828965,-0.0006110757514609655
2018-03-20,-0.007807506146465415,-0.009069007375758498,-0.003023002458586166
2018-03-21,-0.0005745644885126003,0.0034473869310756022,0.0011491289770252007
2018-03-22,7.347432806347383e-05,-0.000440845968380843,-0.00014694865612694766
2018-03-23,-0.001582213017372852,0.007993278104237111,0.002664426034745704
2018-03-26,-0.0018478238727749619,-0.0022173886473299542,-0.0007391295491099847
2018-03-27,-0.010306976454674155,-0.012068371745608986,-0.004022790581869662
2018-03-28,7.870765842576954e-05,-0.00047224595055461727,-0.0001574153168515391
2018-03-29,-0.0021414788333494654,0.011348873000096793,0.003782957666698931
2018-03-30,-0.0019765741130983693,-0.0023118889357180428,-0.0008039629785726809
2018-04-02,0.0009296208754647761,-0.005577725252788657,-0.005577725252788657
2018-04-03,0.0012543549946020063,-0.0075261299676120386,-0.0075261299676120386
2018-04-04,0.001101013455203248,-0.006606080731219488,-0.006606080731219488
2018-04-05,0.0002955179875004932,-0.001773107925002959,-0.0019397745916696258
2018-04-06,0.0012398316588866827,-0.0074389899533200965,-0.0024796633177733654
2018-04-09,-0.001668084581052942,0.010008507486317653,0.003336169162105884
2018-04-10,0.0002765615700499139,-0.0016593694202994835,-0.0005531231400998278
2018-04-11,-0.00014699856832659877,0.0008819914099595927,0.00029399713665319754
2018-04-12,-0.0016024722698232963,0.009614833618939778,0.0032049445396465925
2018-04-13,-0.001924360659751813,0.010046163958510879,0.003348721319503626
2018-04-16,-0.0010052556373681132,-0.0012063067648417358,-0.0004021022549472453
2018-04-17,0.0019485691510405987,0.0023382829812487183,0.0007794276604162393
2018-04-18,0.00414773579713118,0.004977282956557416,0.001659094318852472
2018-04-19,-0.0008978316962846937,-0.0010773980355416324,-0.0003591326785138774
2018-04-20,-0.009627924329757084,-0.0112535091957085,-0.003751169731902833
2018-04-23,-0.000991712547747168,0.0044502752864830075,0.0014834250954943358
2018-04-24,0.0050202443220194,0.00602429318642328,0.0020080977288077597
2018-04-25,0.002403377422241134,0.0028840529066893605,0.0009613509688964534
2018-04-26,-0.004828504834953849,-0.0057942058019446185,-0.0019314019339815394
2018-04-27,-0.000914975186347931,-0.001097970223617517,-0.0003659900745391723
2018-04-30,-0.0030930036075355015,-0.0036516043290426015,-0.0012505347763475338
2018-05-01,0.0002949971317398233,-0.0017699827904389398,-0.0017699827904389398
2018-05-02,-0.001696537019078098,0.008679222114468588,0.008679222114468588
2018-05-03,0.008516933853361108,0.01022032062403333,0.01022032062403333
2018-05-04,0.0037889723892224154,0.004546766867066898,0.004380100200400232
2018-05-07,0.0031298997187212407,0.003755879662465489,0.0012519598874884963
2018-05-08,0.0038283878953281523,0.0045940654743937825,0.0015313551581312608
2018-05-09,7.952907809869829e-05,9.543489371843794e-05,3.181163123947931e-05
2018-05-10,-0.0002639267922514843,-0.00031671215070178116,-0.00010557071690059372
2018-05-11,-0.0034883934129877987,-0.004186072095585358,-0.0013953573651951192
2018-05-14,-0.00015675252808137569,-0.0001881030336976508,-6.270101123255026e-05
2018-05-15,0.012573182839863603,0.015087819407836323,0.005029273135945441
2018-05-16,0.004881503194780756,0.005857803833736908,0.0019526012779123025
2018-05-17,-0.0017038074660021922,-0.0020445689592026306,-0.0006815229864008768
2018-05-18,-0.0024034772156430557,-0.0028841726587716665,-0.0009613908862572221
2018-05-21,-0.004512210897839412,-0.005414653077407294,-0.0018048843591357646
2018-05-22,0.00217935242384328,0.002615222908611936,0.000871740969537312
2018-05-23,0.0022728825818487306,0.0027274590982184765,0.0009091530327394921
2018-05-24,-0.007600892524265204,-0.009121071029118244,-0.003040357009706081
2018-05-25,0.002789444722441174,0.0033473336669294085,0.0011157778889764693
2018-05-28,-0.002928468543226398,-0.0035141622518716775,-0.0011713874172905592
2018-05-29,0.00794877521025833,0.009538530252309996,0.003179510084103332
